2026-07-19 15:59:35,697 | INFO     | calculator.main | User jaytest logged in
2026-07-19 15:59:35,720 | INFO     | calculator.main | User jaytest created calculation 1
2026-07-19 15:59:36,170 | INFO     | calculator.main | Registered new user jaytest
2026-07-19 15:59:36,425 | INFO     | calculator.main | User jaytest logged in
2026-07-19 15:59:36,806 | INFO     | calculator.main | Registered new user jaytest
2026-07-19 15:59:37,002 | INFO     | calculator.main | User jaytest logged in
2026-07-19 15:59:37,021 | INFO     | calculator.main | User jaytest created calculation 1
2026-07-19 15:59:37,470 | INFO     | calculator.main | Registered new user jaytest
2026-07-19 15:59:37,836 | INFO     | calculator.main | User jaytest logged in
2026-07-19 15:59:38,407 | INFO     | calculator.main | Registered new user newuser
2026-07-19 15:59:38,840 | INFO     | calculator.main | Registered new user dbcheck
2026-07-19 15:59:39,268 | INFO     | calculator.main | Registered new user jaytest
2026-07-19 15:59:39,663 | INFO     | calculator.main | Registered new user jaytest
2026-07-19 15:59:40,212 | INFO     | calculator.main | Registered new user jaytest
2026-07-19 15:59:40,575 | INFO     | calculator.main | User jaytest logged in
2026-07-19 15:59:41,019 | INFO     | calculator.main | Registered new user jaytest
2026-07-19 15:59:41,391 | INFO     | calculator.main | User jaytest logged in
2026-07-19 15:59:41,828 | INFO     | calculator.main | Registered new user jaytest
2026-07-19 15:59:42,249 | INFO     | calculator.main | Serving index page to client Address(host='testclient', port=50000)
2026-07-19 15:59:42,297 | INFO     | calculator.main | Health check requested
2026-07-19 15:59:42,343 | INFO     | calculator.main | Received /add request: a=2.0 b=3.0
2026-07-19 15:59:42,343 | INFO     | calculator.operations | ADD: 2.0 + 3.0 = 5.0
2026-07-19 15:59:42,390 | INFO     | calculator.main | Received /add request: a=-2.0 b=-3.0
2026-07-19 15:59:42,391 | INFO     | calculator.operations | ADD: -2.0 + -3.0 = -5.0
2026-07-19 15:59:42,437 | INFO     | calculator.main | Received /subtract request: a=10.0 b=4.0
2026-07-19 15:59:42,437 | INFO     | calculator.operations | SUBTRACT: 10.0 - 4.0 = 6.0
2026-07-19 15:59:42,484 | INFO     | calculator.main | Received /subtract request: a=4.0 b=10.0
2026-07-19 15:59:42,485 | INFO     | calculator.operations | SUBTRACT: 4.0 - 10.0 = -6.0
2026-07-19 15:59:42,527 | INFO     | calculator.main | Received /multiply request: a=3.0 b=5.0
2026-07-19 15:59:42,527 | INFO     | calculator.operations | MULTIPLY: 3.0 * 5.0 = 15.0
2026-07-19 15:59:42,566 | INFO     | calculator.main | Received /multiply request: a=-3.0 b=5.0
2026-07-19 15:59:42,566 | INFO     | calculator.operations | MULTIPLY: -3.0 * 5.0 = -15.0
2026-07-19 15:59:42,614 | INFO     | calculator.main | Received /divide request: a=10.0 b=2.0
2026-07-19 15:59:42,614 | INFO     | calculator.operations | DIVIDE: 10.0 / 2.0 = 5.0
2026-07-19 15:59:42,662 | INFO     | calculator.main | Received /divide request: a=7.0 b=2.0
2026-07-19 15:59:42,662 | INFO     | calculator.operations | DIVIDE: 7.0 / 2.0 = 3.5
2026-07-19 15:59:42,710 | INFO     | calculator.main | Received /divide request: a=5.0 b=0.0
2026-07-19 15:59:42,711 | ERROR    | calculator.operations | DIVIDE: Attempted division by zero (5.0 / 0.0)
2026-07-19 15:59:42,711 | ERROR    | calculator.main | DIVIDE failed for a=5.0, b=0.0: Division by zero is not allowed.
2026-07-19 15:59:43,072 | INFO     | calculator.operations | ADD: 1 + 2 = 3
2026-07-19 15:59:43,110 | INFO     | calculator.operations | ADD: -1 + 1 = 0
2026-07-19 15:59:43,146 | INFO     | calculator.operations | ADD: -5 + -5 = -10
2026-07-19 15:59:43,183 | INFO     | calculator.operations | ADD: 0 + 0 = 0
2026-07-19 15:59:43,227 | INFO     | calculator.operations | ADD: 2.5 + 2.5 = 5.0
2026-07-19 15:59:43,268 | INFO     | calculator.operations | SUBTRACT: 5 - 3 = 2
2026-07-19 15:59:43,308 | INFO     | calculator.operations | SUBTRACT: 3 - 5 = -2
